iter	MultiClass
0	1.751935193
1	1.719793067
2	1.691253543
3	1.666360117
4	1.646390231
5	1.628321797
6	1.614043935
7	1.601274767
8	1.588319618
9	1.576726633
10	1.565963383
11	1.552873977
12	1.543884886
13	1.535013659
14	1.525117047
15	1.516931121
16	1.509000708
17	1.503055017
18	1.496758651
19	1.49097023
20	1.483616593
21	1.478173408
22	1.471695109
23	1.467059913
24	1.459964914
25	1.454746862
26	1.44974534
27	1.445354004
28	1.439047
29	1.433513391
30	1.426602046
31	1.422255447
32	1.419052753
33	1.41511433
34	1.408294639
35	1.40560451
36	1.401506528
37	1.397006129
38	1.393038687
39	1.388313598
40	1.383512299
41	1.379027513
42	1.375118105
43	1.369822053
44	1.366255417
45	1.361897368
46	1.358642265
47	1.354058928
48	1.351004596
49	1.348500224
50	1.344558049
51	1.342370742
52	1.338707622
53	1.334900872
54	1.331481304
55	1.328487273
56	1.325543168
57	1.322671883
58	1.320123463
59	1.316266132
60	1.313522805
61	1.310275602
62	1.3078198
63	1.304526438
64	1.302055143
65	1.298241315
66	1.295212691
67	1.293448701
68	1.290250648
69	1.287033937
70	1.284131873
71	1.280680531
72	1.277331387
73	1.27422229
74	1.271647446
75	1.269329546
76	1.267289438
77	1.26516411
78	1.262541657
79	1.260099293
80	1.25787252
81	1.255229169
82	1.25216072
83	1.248917275
84	1.246581527
85	1.244193686
86	1.241329496
87	1.238585032
88	1.235906969
89	1.233526442
90	1.231084473
91	1.22859626
92	1.226221529
93	1.223507203
94	1.220617295
95	1.217930609
96	1.215794298
97	1.213084639
98	1.210673423
99	1.208502547
100	1.20635239
101	1.204166321
102	1.201551258
103	1.198639386
104	1.196117269
105	1.193815466
106	1.191672749
107	1.189175145
108	1.186482695
109	1.183694041
110	1.181324481
111	1.179137287
112	1.1759636
113	1.173461835
114	1.170932025
115	1.168500305
116	1.165723017
117	1.16340757
118	1.160715181
119	1.158383223
120	1.15581129
121	1.153542033
122	1.150182956
123	1.147999654
124	1.145796736
125	1.143399363
126	1.140921419
127	1.138651607
128	1.136220071
129	1.13379941
130	1.131617888
131	1.129493554
132	1.127325096
133	1.125171029
134	1.123064873
135	1.121173771
136	1.118845305
137	1.116734283
138	1.114292156
139	1.112206957
140	1.109961775
141	1.107748238
142	1.105884174
143	1.103791946
144	1.101522626
145	1.099571395
146	1.097283392
147	1.094813312
148	1.092779417
149	1.090698261
150	1.088308731
151	1.086376593
152	1.084426302
153	1.08222261
154	1.080411653
155	1.078588155
156	1.076683115
157	1.073999776
158	1.072135947
159	1.070120693
160	1.068165532
161	1.065966267
162	1.064014784
163	1.062215206
164	1.060028275
165	1.058291079
166	1.05654181
167	1.05471846
168	1.052850714
169	1.051081029
170	1.04929678
171	1.047058152
172	1.044628602
173	1.042941505
174	1.041182034
175	1.039364679
176	1.037407858
177	1.035293052
178	1.033305029
179	1.031500348
180	1.029667059
181	1.027989124
182	1.026068355
183	1.024160641
184	1.022408447
185	1.020783691
186	1.018933483
187	1.01715686
188	1.015644429
189	1.014059871
190	1.01234308
191	1.010514033
192	1.00878608
193	1.006939273
194	1.0054066
195	1.003829844
196	1.002073592
197	1.000474002
198	0.998694624
199	0.9971034388
200	0.9956231903
201	0.9939818067
202	0.9920046565
203	0.9904477978
204	0.9889531786
205	0.9873965651
206	0.9857990897
207	0.9843336867
208	0.9827595539
209	0.9812330575
210	0.9797086239
211	0.9780098354
212	0.9765588849
213	0.9747997935
214	0.9733448936
215	0.9716580538
216	0.9701808875
217	0.9687383509
218	0.9673258502
219	0.9659527459
220	0.9645637725
221	0.9632052154
222	0.9617273173
223	0.9601417092
