iter	Passed	Remaining
0	160	160742
1	210	104888
2	266	88502
3	319	79661
4	371	73885
5	422	69988
6	471	66850
7	521	64633
8	572	63015
9	622	61599
10	671	60418
11	721	59422
12	770	58507
13	819	57737
14	869	57122
15	924	56875
16	976	56475
17	1025	55959
18	1086	56085
19	1136	55707
20	1196	55794
21	1264	56232
22	1333	56651
23	1406	57191
24	1480	57751
25	1552	58165
26	1628	58679
27	1701	59081
28	1776	59471
29	1850	59828
30	1924	60170
31	2002	60572
32	2074	60802
33	2149	61060
34	2222	61266
35	2294	61434
36	2367	61621
37	2457	62212
38	2532	62399
39	2606	62548
40	2679	62664
41	2755	62854
42	2832	63044
43	2906	63156
44	2980	63246
45	3054	63344
46	3132	63513
47	3207	63620
48	3287	63806
49	3366	63964
50	3445	64106
51	3524	64250
52	3601	64349
53	3681	64499
54	3761	64634
55	3842	64770
56	3918	64828
57	3997	64919
58	4074	64977
59	4151	65044
60	4229	65103
61	4306	65158
62	4384	65213
63	4472	65404
64	4552	65482
65	4630	65529
66	4710	65596
67	4792	65680
68	4872	65741
69	4949	65756
70	5026	65775
71	5104	65788
72	5196	65982
73	5274	66004
74	5353	66023
75	5432	66047
76	5507	66015
77	5582	65984
78	5657	65953
79	5733	65935
80	5808	65901
81	5890	65942
82	5965	65902
83	6046	65932
84	6123	65915
85	6199	65886
86	6271	65818
87	6347	65782
88	6420	65718
89	6495	65673
90	6571	65640
91	6645	65586
92	6719	65537
93	6794	65483
94	6866	65412
95	6940	65354
96	7012	65284
97	7093	65288
98	7166	65219
99	7239	65157
100	7312	65084
101	7388	65050
102	7466	65021
103	7539	64959
104	7614	64900
105	7686	64829
106	7760	64766
107	7835	64712
108	7909	64651
109	7981	64575
110	8053	64498
111	8127	64436
112	8200	64373
113	8274	64308
114	8349	64257
115	8424	64200
116	8502	64167
117	8578	64120
118	8652	64057
119	8725	63989
120	8802	63943
121	8876	63883
122	8954	63843
123	9028	63785
124	9102	63719
125	9176	63656
126	9250	63590
127	9323	63516
128	9398	63455
129	9472	63389
130	9546	63324
131	9619	63255
132	9691	63178
133	9766	63120
134	9849	63110
135	9925	63056
136	9998	62981
137	10070	62906
138	10144	62837
139	10218	62773
140	10293	62709
141	10365	62630
142	10440	62567
143	10512	62488
144	10584	62413
145	10662	62368
146	10734	62291
147	10809	62225
148	10897	62240
149	10970	62163
150	11043	62089
151	11116	62018
152	11188	61938
153	11261	61865
154	11335	61794
155	11408	61724
156	11481	61651
157	11555	61580
158	11629	61512
159	11707	61463
160	11782	61401
161	11855	61325
162	11940	61316
163	12016	61252
164	12090	61184
165	12163	61109
166	12239	61050
167	12312	60977
168	12387	60909
169	12460	60837
170	12533	60763
171	12607	60693
172	12680	60616
173	12753	60542
174	12829	60483
175	12904	60417
176	12976	60337
177	13050	60266
178	13122	60188
179	13194	60108
180	13267	60031
181	13340	59960
182	13413	59883
183	13486	59810
184	13559	59735
185	13633	59665
186	13708	59597
187	13782	59526
188	13854	59450
189	13928	59378
190	14003	59313
191	14078	59245
192	14150	59170
193	14222	59091
194	14296	59018
195	14370	58948
196	14443	58875
197	14517	58804
198	14592	58735
199	14668	58672
200	14741	58598
201	14816	58533
202	14892	58470
203	14967	58404
204	15041	58329
205	15114	58257
206	15187	58183
207	15264	58120
208	15337	58048
209	15414	57988
210	15492	57932
211	15569	57870
212	15649	57822
213	15721	57742
214	15792	57662
215	15865	57584
216	15937	57508
217	16018	57459
218	16089	57378
219	16162	57301
220	16234	57226
221	16307	57150
222	16379	57071
223	16452	56996
224	16525	56922
225	16597	56841
226	16671	56770
227	16743	56692
228	16817	56620
229	16889	56543
230	16961	56465
231	17032	56384
232	17111	56327
233	17181	56243
234	17257	56177
235	17330	56102
236	17400	56020
237	17468	55930
238	17539	55847
239	17610	55765
240	17679	55679
241	17751	55600
242	17821	55516
243	17892	55436
244	17962	55353
245	18030	55265
246	18100	55181
247	18169	55093
248	18238	55008
249	18310	54931
250	18380	54849
251	18449	54763
252	18519	54680
253	18588	54595
254	18658	54513
255	18727	54425
256	18797	54343
257	18866	54259
258	18936	54177
259	19007	54098
260	19077	54015
261	19145	53930
262	19213	53842
263	19281	53754
264	19349	53668
265	19418	53582
266	19486	53497
267	19555	53412
268	19624	53328
269	19699	53261
270	19768	53178
271	19839	53098
272	19909	53018
273	19978	52935
274	20048	52854
275	20116	52770
276	20185	52685
277	20254	52603
278	20322	52517
279	20390	52432
280	20457	52345
281	20525	52260
282	20593	52176
283	20664	52098
284	20733	52015
285	20803	51935
286	20871	51851
287	20939	51767
288	21007	51682
289	21084	51619
290	21153	51538
291	21221	51454
292	21290	51373
293	21358	51290
294	21427	51207
295	21495	51124
296	21563	51040
297	21631	50957
298	21699	50873
299	21769	50795
300	21838	50714
301	21906	50631
302	21980	50562
